Year,Heat wave index
1890,
1891,
1892,
1893,
1894,
1895,0.034
1896,0.089
1897,0.166
1898,0.054
1899,0.043
1900,0.124
1901,0.328
1902,0.052
1903,0.001
1904,0.006
1905,0.037
1906,0.027
1907,0.019
1908,0.023
1909,0.043
1910,0.051
1911,0.204
1912,0.033
1913,0.097
1914,0.105
1915,0.03
1916,0.145
1917,0.182
1918,0.238
1919,0.026
1920,0.004
1921,0.139
1922,0.004
1923,0.024
1924,0.032
1925,0.159
1926,0.058
1927,0.008
1928,0.046
1929,0.02
1930,0.524
1931,0.572
1932,0.118
1933,0.199
1934,0.898
1935,0.166
1936,1.338
1937,0.063
1938,0.035
1939,0.09
1940,0.221
1941,0.185
1942,0.067
1943,0.066
1944,0.062
1945,0.003
1946,0.008
1947,0.168
1948,0.095
1949,0.058
1950,0.014
1951,0.061
1952,0.191
1953,0.076
1954,0.284
1955,0.145
1956,0.027
1957,0.004
1958,0.016
1959,0.015
1960,0.035
1961,0.042
1962,0.021
1963,0.021
1964,0.032
1965,0.004
1966,0.042
1967,0.003
1968,0.016
1969,0.027
1970,0.014
1971,0.037
1972,0.032
1973,0.017
1974,0.015
1975,0.064
1976,0.053
1977,0.078
1978,0.033
1979,0.022
1980,0.271
1981,0.067
1982,0.007
1983,0.148
1984,0.011
1985,0.023
1986,0.079
1987,0.052
1988,0.349
1989,0.03
1990,0.063
1991,0.028
1992,0.027
1993,0.035
1994,0.063
1995,0.078
1996,0.018
1997,0.008
1998,0.124
1999,0.088
2000,0.081
2001,0.099
2002,0.111
2003,0.114
2004,0.013
2005,0.056
2006,0.217
2007,0.178
2008,0.032
2009,0.053
2010,0.15
2011,0.3
2012,0.252
2013,0.086
2014,0.027
2015,0.112
2016,0.053
2017,0.079
2018,0.107
2019,0.051
2020,0.123
2021,0.226
